*******************************************************************************
Ephemeris / WWW_USER Mon Sep 26 22:38:00 2016 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: L2 (392)                        {source: L2_de431}
Center body name: Sun (10)                        {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2018-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2022-Jan-01 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Output units    : KM-S                                                         
Output type     : LT CORRECTED cartesian states
Output format   : 2 (position and velocity)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Earth Mean Equator and Equinox of Reference Epoch            
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2458182.500000000, A.D. 2018-Mar-05 00:00:00.0000, -1.441273244516388E+08,  3.765797850196116E+07,  1.632548132464646E+07, -8.730087764622484E+00, -2.665406087805280E+01, -1.155457136678728E+01,
2458183.500000000, A.D. 2018-Mar-06 00:00:00.0000, -1.448597093211723E+08,  3.534947671340860E+07,  1.532474258797906E+07, -8.222926845578010E+00, -2.678219252569761E+01, -1.161011881891877E+01,
2458184.500000000, A.D. 2018-Mar-07 00:00:00.0000, -1.455481835493988E+08,  3.303025902834893E+07,  1.431935830439411E+07, -7.713663298652861E+00, -2.690211081317545E+01, -1.166210577727313E+01,
2458185.500000000, A.D. 2018-Mar-08 00:00:00.0000, -1.461925724315153E+08,  3.070103615986913E+07,  1.330963656817228E+07, -7.202458273695554E+00, -2.701379118597062E+01, -1.171052159799493E+01,
2458186.500000000, A.D. 2018-Mar-09 00:00:00.0000, -1.467927151922826E+08,  2.836252082344464E+07,  1.229588634161664E+07, -6.689473056680563E+00, -2.711721184458442E+01, -1.175535683075526E+01,
2458187.500000000, A.D. 2018-Mar-10 00:00:00.0000, -1.473484649953421E+08,  2.601542749924432E+07,  1.127841735208215E+07, -6.174869013378790E+00, -2.721235373680356E+01, -1.179660321533877E+01,
2458188.500000000, A.D. 2018-Mar-11 00:00:00.0000, -1.478596889477040E+08,  2.366047219513327E+07,  1.025753998930841E+07, -5.658807533663587E+00, -2.729920054855047E+01, -1.183425367771749E+01,
2458189.500000000, A.D. 2018-Mar-12 00:00:00.0000, -1.483262680994341E+08,  2.129837221055339E+07,  9.233565203125594E+06, -5.141449976192163E+00, -2.737773869339408E+01, -1.186830232563211E+01,
2458190.500000000, A.D. 2018-Mar-13 00:00:00.0000, -1.487480974385723E+08,  1.892984590136009E+07,  8.206804401560487E+06, -4.622957613277631E+00, -2.744795730076780E+01, -1.189874444368412E+01,
2458191.500000000, A.D. 2018-Mar-14 00:00:00.0000, -1.491250858812924E+08,  1.655561244572237E+07,  7.177569349384063E+06, -4.103491575794624E+00, -2.750984820290796E+01, -1.192557648792073E+01,
2458192.500000000, A.D. 2018-Mar-15 00:00:00.0000, -1.494571562572956E+08,  1.417639161122246E+07,  6.146172067156881E+06, -3.583212797976653E+00, -2.756340592054092E+01, -1.194879607988800E+01,
2458193.500000000, A.D. 2018-Mar-16 00:00:00.0000, -1.497442452904308E+08,  1.179290352322153E+07,  5.112924730801819E+06, -3.062281962092586E+00, -2.760862764746012E+01, -1.196840200018631E+01,
2458194.500000000, A.D. 2018-Mar-17 00:00:00.0000, -1.499863035745297E+08,  9.405868434625223E+06,  4.078139571764289E+06, -2.540859442995212E+00, -2.764551323400249E+01, -1.198439418149814E+01,
2458195.500000000, A.D. 2018-Mar-18 00:00:00.0000, -1.501832955444466E+08,  7.016006497089078E+06,  3.042128777784009E+06, -2.019105252592742E+00, -2.767406516968121E+01, -1.199677370116597E+01,
2458196.500000000, A.D. 2018-Mar-19 00:00:00.0000, -1.503351994423021E+08,  4.624037533801803E+06,  2.005204394345733E+06, -1.497178984468222E+00, -2.769428856512972E+01, -1.200554277336787E+01,
2458197.500000000, A.D. 2018-Mar-20 00:00:00.0000, -1.504420072789645E+08,  2.230680813791076E+06,  9.676782267943496E+05, -9.752397589678330E-01, -2.770619113356410E+01, -1.201070474098110E+01,
2458198.500000000, A.D. 2018-Mar-21 00:00:00.0000, -1.505037247908218E+08, -1.633451721028702E+05, -7.013825681454083E+04, -4.534461692773898E-01, -2.770978317187414E+01, -1.201226406720073E+01,
2458199.500000000, A.D. 2018-Mar-22 00:00:00.0000, -1.505203713919556E+08, -2.557322933635016E+06, -1.107934022144086E+06,  6.804377104215836E-02, -2.770507754136986E+01, -1.201022632696275E+01,
2458200.500000000, A.D. 2018-Mar-23 00:00:00.0000, -1.504919801218640E+08, -4.950536201868168E+06, -2.145398564250873E+06,  5.890726785778588E-01, -2.769208964807245E+01, -1.200459819817913E+01,
2458201.500000000, A.D. 2018-Mar-24 00:00:00.0000, -1.504185975889123E+08, -7.342270148148985E+06, -3.182222002490096E+06,  1.109483848379306E+00, -2.767083742233536E+01, -1.199538745274612E+01,
2458202.500000000, A.D. 2018-Mar-25 00:00:00.0000, -1.503002839097068E+08, -9.731811601317750E+06, -4.218095174645736E+06,  1.629121300058162E+00, -2.764134129752894E+01, -1.198260294725049E+01,
2458203.500000000, A.D. 2018-Mar-26 00:00:00.0000, -1.501371126445734E+08, -1.211844926297401E+07, -5.252709730218461E+06,  2.147829821938313E+00, -2.760362418753640E+01, -1.196625461327998E+01,
2458204.500000000, A.D. 2018-Mar-27 00:00:00.0000, -1.499291707292855E+08, -1.450147392079576E+07, -6.285758222880275E+06,  2.665455013797959E+00, -2.755771146288504E+01, -1.194635344724841E+01,
