*******************************************************************************
Ephemeris / WWW_USER Wed May  2 21:31:34 2018 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: James Webb Space Telescope (spacecraft) (-170) {source: jwst_2_out}
Center body name: Sun (10)                        {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2020-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2024-Jan-01 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}
Output units    : KM-S
Output type     : LT CORRECTED cartesian states
Output format   : 2 (position and velocity)
Reference frame : ICRF/J2000.0
Coordinate systm: Earth Mean Equator and Equinox of Reference Epoch
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2458910.500000000, A.D. 2020-Mar-02 00:00:00.0000, -1.422178114241905E+08,  4.275516287668983E+07,  1.843062835244869E+07, -9.936030299787772E+00, -2.623730626409284E+01, -1.148736377763296E+01,
2458911.500000000, A.D. 2020-Mar-03 00:00:00.0000, -1.430546084453789E+08,  4.048213421022426E+07,  1.743556643119159E+07, -9.434032040328219E+00, -2.637779413583270E+01, -1.154647068529606E+01,
2458912.500000000, A.D. 2020-Mar-04 00:00:00.0000, -1.438479650151573E+08,  3.819731773755385E+07,  1.643551563853168E+07, -8.930216957055187E+00, -2.651024285042633E+01, -1.160217738611512E+01,
2458913.500000000, A.D. 2020-Mar-05 00:00:00.0000, -1.445977013321023E+08,  3.590141024975231E+07,  1.543078667551788E+07, -8.424200676314431E+00, -2.663485144916971E+01, -1.165442159748141E+01,
2458914.500000000, A.D. 2020-Mar-06 00:00:00.0000, -1.453036504647247E+08,  3.359510869182476E+07,  1.442169007053344E+07, -7.916876705367903E+00, -2.675080769151088E+01, -1.170309294835258E+01,
2458915.500000000, A.D. 2020-Mar-07 00:00:00.0000, -1.459656600971773E+08,  3.127911142189507E+07,  1.340853695208328E+07, -7.407598440455766E+00, -2.685858512341906E+01, -1.174834933732188E+01,
2458916.500000000, A.D. 2020-Mar-08 00:00:00.0000, -1.465835886608383E+08,  2.895411890717197E+07,  1.239163895037375E+07, -6.895937346588698E+00, -2.695930489158703E+01, -1.178998696622867E+01,
2458917.500000000, A.D. 2020-Mar-09 00:00:00.0000, -1.471573091205423E+08,  2.662083065295216E+07,  1.137130732277019E+07, -6.383557532208502E+00, -2.705131383337467E+01, -1.182837002654227E+01,
2458918.500000000, A.D. 2020-Mar-10 00:00:00.0000, -1.476867060609079E+08,  2.427994877662942E+07,  1.034785415772560E+07, -5.870107489497240E+00, -2.713473268755280E+01, -1.186248246724814E+01,
2458919.500000000, A.D. 2020-Mar-11 00:00:00.0000, -1.481716774195577E+08,  2.193217328793045E+07,  9.321590436705440E+06, -5.355670852635423E+00, -2.721008311330446E+01, -1.189315603503882E+01,
